Time,FA,FB,FC,h,x,v,h_sp,x_sp
0,50,50,100,1,0.5,0.5,1,0.5
0.005,50,50,100,1,0.5,0.5,1,0.5
0.01,50,50,100,1,0.5,0.5,1,0.5
0.015,50,50,100,1,0.5,0.5,1,0.5
0.02,50,50,100,1,0.5,0.5,1,0.5
0.025,50,50,100,1,0.5,0.5,1,0.5
0.03,50,50,100,1,0.5,0.5,1,0.5
0.035,50,50,100,1,0.5,0.5,1,0.5
0.04,50,50,100,1,0.5,0.5,1,0.5
0.045,50,50,100,1,0.5,0.5,1,0.5
0.05,50,50,100,1,0.5,0.5,1,0.5
0.055,50,50,100,1,0.5,0.5,1,0.5
0.06,50,50,100,1,0.5,0.5,1,0.5
0.065,50,50,100,1,0.5,0.5,1,0.5
0.07,50,50,100,1,0.5,0.5,1,0.5
0.075,50,50,100,1,0.5,0.5,1,0.5
0.08,50,50,100,1,0.5,0.5,1,0.5
0.085,50,50,100,1,0.5,0.5,1,0.5
0.09,50,50,100,1,0.5,0.5,1,0.5
0.095,50,50,100,1,0.5,0.5,1,0.5
0.1,50,40.182,100,1,0.5,0.5,1,0.5
0.105,49.989,40.182,99.956,0.9999,0.50005,0.4998,1,0.5
0.11,49.978,40.182,99.912,0.9998,0.5001,0.49961,1,0.5
0.115,49.967,40.182,99.868,0.99971,0.50015,0.49941,1,0.5
0.12,49.956,40.182,99.824,0.99961,0.5002,0.49922,1,0.5
0.125,49.945,40.182,99.781,0.99951,0.50024,0.49902,1,0.5
0.13,49.933,40.182,99.737,0.99942,0.50029,0.49883,1,0.5
0.135,49.922,40.182,99.694,0.99932,0.50034,0.49864,1,0.5
0.14,49.911,40.182,99.651,0.99922,0.50039,0.49845,1,0.5
0.145,49.9,40.182,99.608,0.99913,0.50044,0.49826,1,0.5
0.15,49.889,40.182,99.565,0.99903,0.50049,0.49807,1,0.5
0.155,49.878,40.182,99.522,0.99894,0.50053,0.49788,1,0.5
0.16,49.866,40.182,99.48,0.99884,0.50058,0.49769,1,0.5
0.165,49.855,40.182,99.437,0.99875,0.50063,0.4975,1,0.5
0.17,49.844,40.182,99.395,0.99866,0.50068,0.49731,1,0.5
0.175,49.833,40.182,99.353,0.99856,0.50073,0.49712,1,0.5
0.18,49.821,40.182,99.311,0.99847,0.50077,0.49694,1,0.5
0.185,49.81,40.182,99.269,0.99837,0.50082,0.49675,1,0.5
0.19,49.799,40.182,99.228,0.99828,0.50087,0.49656,1,0.5
0.195,49.787,40.182,99.186,0.99819,0.50092,0.49638,1,0.5
0.2,49.776,50.057,99.145,0.9981,0.50096,0.4962,1,0.5
0.205,49.776,50.057,99.148,0.9981,0.50096,0.49621,1,0.5
0.21,49.775,50.057,99.151,0.99811,0.50096,0.49622,1,0.5
0.215,49.775,50.057,99.154,0.99812,0.50096,0.49624,1,0.5
0.22,49.775,50.057,99.157,0.99812,0.50095,0.49625,1,0.5
0.225,49.775,50.057,99.16,0.99813,0.50095,0.49626,1,0.5
0.23,49.775,50.057,99.163,0.99814,0.50095,0.49628,1,0.5
0.235,49.774,50.057,99.166,0.99814,0.50095,0.49629,1,0.5
0.24,49.774,50.057,99.169,0.99815,0.50094,0.4963,1,0.5
0.245,49.774,50.057,99.172,0.99816,0.50094,0.49632,1,0.5
0.25,49.774,50.057,99.175,0.99816,0.50094,0.49633,1,0.5
0.255,49.774,50.057,99.178,0.99817,0.50094,0.49634,1,0.5
0.26,49.774,50.057,99.181,0.99818,0.50094,0.49636,1,0.5
0.265,49.773,50.057,99.184,0.99818,0.50093,0.49637,1,0.5
0.27,49.773,50.057,99.187,0.99819,0.50093,0.49638,1,0.5
0.275,49.773,50.057,99.189,0.9982,0.50093,0.49639,1,0.5
0.28,49.773,50.057,99.192,0.9982,0.50093,0.49641,1,0.5
0.285,49.773,50.057,99.195,0.99821,0.50092,0.49642,1,0.5
0.29,49.772,50.057,99.198,0.99822,0.50092,0.49643,1,0.5
0.295,49.772,50.057,99.201,0.99822,0.50092,0.49645,1,0.5
0.3,49.772,47.321,99.204,0.99823,0.50092,0.49646,1,0.5
0.305,49.769,47.321,99.194,0.99821,0.50093,0.49642,1,0.5
0.31,49.766,47.321,99.185,0.99819,0.50094,0.49637,1,0.5
0.315,49.762,47.321,99.175,0.99817,0.50095,0.49633,1,0.5
0.32,49.759,47.321,99.166,0.99814,0.50096,0.49629,1,0.5
0.325,49.756,47.321,99.157,0.99812,0.50097,0.49625,1,0.5
0.33,49.753,47.321,99.147,0.9981,0.50098,0.49621,1,0.5
0.335,49.749,47.321,99.138,0.99808,0.501,0.49617,1,0.5
0.34,49.746,47.321,99.129,0.99806,0.50101,0.49612,1,0.5
0.345,49.743,47.321,99.119,0.99804,0.50102,0.49608,1,0.5
0.35,49.74,47.321,99.11,0.99802,0.50103,0.49604,1,0.5
0.355,49.736,47.321,99.101,0.998,0.50104,0.496,1,0.5
0.36,49.733,47.321,99.092,0.99798,0.50105,0.49596,1,0.5
0.365,49.73,47.321,99.083,0.99796,0.50106,0.49592,1,0.5
0.37,49.726,47.321,99.073,0.99794,0.50107,0.49588,1,0.5
0.375,49.723,47.321,99.064,0.99792,0.50108,0.49584,1,0.5
0.38,49.72,47.321,99.055,0.9979,0.5011,0.4958,1,0.5
0.385,49.717,47.321,99.046,0.99788,0.50111,0.49576,1,0.5
0.39,49.713,47.321,99.037,0.99786,0.50112,0.49572,1,0.5
0.395,49.71,47.321,99.028,0.99784,0.50113,0.49568,1,0.5
0.4,49.707,44.546,99.019,0.99782,0.50114,0.49564,1,0.5
0.405,49.7,44.546,98.998,0.99777,0.50116,0.49554,1,0.5
0.41,49.694,44.546,98.976,0.99772,0.50119,0.49545,1,0.5
0.415,49.688,44.546,98.955,0.99768,0.50121,0.49535,1,0.5
0.42,49.681,44.546,98.934,0.99763,0.50124,0.49526,1,0.5
0.425,49.675,44.546,98.913,0.99758,0.50126,0.49516,1,0.5
0.43,49.668,44.546,98.892,0.99753,0.50129,0.49507,1,0.5
0.435,49.662,44.546,98.871,0.99749,0.50131,0.49498,1,0.5
0.44,49.655,44.546,98.85,0.99744,0.50134,0.49488,1,0.5
0.445,49.649,44.546,98.829,0.99739,0.50136,0.49479,1,0.5
0.45,49.642,44.546,98.808,0.99735,0.50138,0.4947,1,0.5
0.455,49.636,44.546,98.787,0.9973,0.50141,0.4946,1,0.5
0.46,49.629,44.546,98.767,0.99726,0.50143,0.49451,1,0.5
0.465,49.623,44.546,98.746,0.99721,0.50146,0.49442,1,0.5
0.47,49.616,44.546,98.726,0.99716,0.50148,0.49433,1,0.5
0.475,49.61,44.546,98.705,0.99712,0.50151,0.49424,1,0.5
0.48,49.603,44.546,98.685,0.99707,0.50153,0.49415,1,0.5
0.485,49.597,44.546,98.664,0.99703,0.50155,0.49406,1,0.5
0.49,49.59,44.546,98.644,0.99698,0.50158,0.49397,1,0.5
0.495,49.584,44.546,98.624,0.99694,0.5016,0.49388,1,0.5
0.5,49.577,62.585,98.604,0.99689,0.50162,0.49379,1,0.5
0.505,49.591,62.585,98.664,0.99703,0.50156,0.49406,1,0.5
0.51,49.605,62.585,98.725,0.99716,0.50149,0.49433,1,0.5
0.515,49.619,62.585,98.786,0.9973,0.50142,0.4946,1,0.5
0.52,49.633,62.585,98.846,0.99743,0.50136,0.49486,1,0.5
0.525,49.647,62.585,98.906,0.99757,0.50129,0.49513,1,0.5
0.53,49.661,62.585,98.966,0.9977,0.50122,0.4954,1,0.5
0.535,49.675,62.585,99.025,0.99783,0.50116,0.49566,1,0.5
0.54,49.689,62.585,99.085,0.99796,0.50109,0.49593,1,0.5
0.545,49.703,62.585,99.144,0.9981,0.50103,0.49619,1,0.5
0.55,49.717,62.585,99.203,0.99823,0.50096,0.49646,1,0.5
0.555,49.731,62.585,99.262,0.99836,0.5009,0.49672,1,0.5
0.56,49.745,62.585,99.321,0.99849,0.50083,0.49698,1,0.5
0.565,49.759,62.585,99.379,0.99862,0.50076,0.49724,1,0.5
0.57,49.774,62.585,99.437,0.99875,0.5007,0.4975,1,0.5
0.575,49.788,62.585,99.495,0.99888,0.50063,0.49776,1,0.5
0.58,49.802,62.585,99.553,0.99901,0.50057,0.49801,1,0.5
0.585,49.816,62.585,99.611,0.99914,0.50051,0.49827,1,0.5
0.59,49.83,62.585,99.669,0.99926,0.50044,0.49853,1,0.5
0.595,49.845,62.585,99.726,0.99939,0.50038,0.49878,1,0.5
0.6,49.859,54.24,99.783,0.99952,0.50031,0.49904,1,0.5
0.605,49.864,54.24,99.802,0.99956,0.50029,0.49912,1,0.5
0.61,49.868,54.24,99.822,0.9996,0.50027,0.49921,1,0.5
0.615,49.873,54.24,99.841,0.99965,0.50025,0.49929,1,0.5
0.62,49.878,54.24,99.86,0.99969,0.50022,0.49938,1,0.5
0.625,49.883,54.24,99.879,0.99973,0.5002,0.49946,1,0.5
0.63,49.888,54.24,99.899,0.99977,0.50018,0.49955,1,0.5
0.635,49.893,54.24,99.918,0.99982,0.50016,0.49963,1,0.5
0.64,49.898,54.24,99.937,0.99986,0.50014,0.49972,1,0.5
0.645,49.903,54.24,99.955,0.9999,0.50011,0.4998,1,0.5
0.65,49.908,54.24,99.974,0.99994,0.50009,0.49989,1,0.5
0.655,49.912,54.24,99.993,0.99998,0.50007,0.49997,1,0.5
0.66,49.917,54.24,100.01,1,0.50005,0.50005,1,0.5
0.665000000000001,49.922,54.24,100.03,1.0001,0.50003,0.50014,1,0.5
0.67,49.927,54.24,100.05,1.0001,0.50001,0.50022,1,0.5
0.675,49.932,54.24,100.07,1.0002,0.49998,0.5003,1,0.5
0.68,49.937,54.24,100.09,1.0002,0.49996,0.50038,1,0.5
0.685000000000001,49.942,54.24,100.1,1.0002,0.49994,0.50046,1,0.5
0.690000000000001,49.947,54.24,100.12,1.0003,0.49992,0.50055,1,0.5
0.695,49.952,54.24,100.14,1.0003,0.4999,0.50063,1,0.5
0.7,49.957,47.958,100.16,1.0004,0.49988,0.50071,1,0.5
0.705000000000001,49.955,47.958,100.15,1.0003,0.49989,0.50066,1,0.5
0.710000000000001,49.953,47.958,100.14,1.0003,0.4999,0.50062,1,0.5
0.715000000000001,49.951,47.958,100.13,1.0003,0.49991,0.50057,1,0.5
0.72,49.949,47.958,100.12,1.0003,0.49992,0.50053,1,0.5
0.725000000000001,49.946,47.958,100.11,1.0002,0.49993,0.50049,1,0.5
0.730000000000001,49.944,47.958,100.1,1.0002,0.49994,0.50044,1,0.5
0.735000000000001,49.942,47.958,100.09,1.0002,0.49995,0.5004,1,0.5
0.740000000000001,49.94,47.958,100.08,1.0002,0.49996,0.50035,1,0.5
0.745000000000001,49.938,47.958,100.07,1.0002,0.49997,0.50031,1,0.5
0.750000000000001,49.936,47.958,100.06,1.0001,0.49998,0.50027,1,0.5
0.755000000000001,49.934,47.958,100.05,1.0001,0.49999,0.50022,1,0.5
0.760000000000001,49.932,47.958,100.04,1.0001,0.5,0.50018,1,0.5
0.765000000000001,49.929,47.958,100.03,1.0001,0.50001,0.50014,1,0.5
0.770000000000001,49.927,47.958,100.02,1,0.50002,0.50009,1,0.5
0.775000000000001,49.925,47.958,100.01,1,0.50003,0.50005,1,0.5
0.780000000000001,49.923,47.958,100,1,0.50004,0.50001,1,0.5
0.785000000000001,49.921,47.958,99.992,0.99998,0.50005,0.49997,1,0.5
0.790000000000001,49.919,47.958,99.983,0.99996,0.50006,0.49992,1,0.5
0.795000000000001,49.916,47.958,99.973,0.99994,0.50007,0.49988,1,0.5
0.800000000000001,49.914,59.948,99.964,0.99992,0.50008,0.49984,1,0.5
0.805000000000001,49.926,59.948,100.01,1,0.50003,0.50004,1,0.5
0.810000000000001,49.937,59.948,100.05,1.0001,0.49997,0.50024,1,0.5
0.815000000000001,49.948,59.948,100.1,1.0002,0.49992,0.50043,1,0.5
0.820000000000001,49.96,59.948,100.14,1.0003,0.49988,0.50063,1,0.5
0.825000000000001,49.971,59.948,100.19,1.0004,0.49983,0.50082,1,0.5
0.830000000000001,49.982,59.948,100.23,1.0005,0.49978,0.50102,1,0.5
0.835000000000001,49.994,59.948,100.27,1.0006,0.49973,0.50121,1,0.5
0.840000000000001,50.005,59.948,100.32,1.0007,0.49968,0.50141,1,0.5
0.845000000000001,50.017,59.948,100.36,1.0008,0.49963,0.5016,1,0.5
0.850000000000001,50.028,59.948,100.4,1.0009,0.49958,0.50179,1,0.5
0.855000000000001,50.04,59.948,100.45,1.001,0.49953,0.50198,1,0.5
0.860000000000001,50.051,59.948,100.49,1.0011,0.49948,0.50217,1,0.5
0.865000000000001,50.063,59.948,100.53,1.0012,0.49943,0.50236,1,0.5
0.870000000000001,50.074,59.948,100.57,1.0013,0.49938,0.50255,1,0.5
0.875000000000001,50.086,59.948,100.62,1.0014,0.49933,0.50274,1,0.5
0.880000000000001,50.097,59.948,100.66,1.0015,0.49929,0.50293,1,0.5
0.885000000000001,50.109,59.948,100.7,1.0016,0.49924,0.50312,1,0.5
0.890000000000001,50.12,59.948,100.74,1.0017,0.49919,0.5033,1,0.5
0.895000000000001,50.132,59.948,100.79,1.0017,0.49914,0.50349,1,0.5
0.900000000000001,50.143,49.201,100.83,1.0018,0.49909,0.50368,1,0.5
0.905000000000001,50.143,49.201,100.82,1.0018,0.4991,0.50365,1,0.5
0.910000000000001,50.142,49.201,100.81,1.0018,0.4991,0.50362,1,0.5
0.915000000000001,50.142,49.201,100.81,1.0018,0.49911,0.50359,1,0.5
0.920000000000001,50.141,49.201,100.8,1.0018,0.49911,0.50356,1,0.5
0.925000000000001,50.141,49.201,100.79,1.0018,0.49912,0.50353,1,0.5
0.930000000000001,50.14,49.201,100.79,1.0018,0.49913,0.5035,1,0.5
0.935000000000001,50.14,49.201,100.78,1.0017,0.49913,0.50347,1,0.5
0.940000000000001,50.139,49.201,100.78,1.0017,0.49914,0.50344,1,0.5
0.945000000000001,50.139,49.201,100.77,1.0017,0.49914,0.50341,1,0.5
0.950000000000001,50.138,49.201,100.76,1.0017,0.49915,0.50339,1,0.5
0.955000000000001,50.138,49.201,100.76,1.0017,0.49915,0.50336,1,0.5
0.960000000000001,50.137,49.201,100.75,1.0017,0.49916,0.50333,1,0.5
0.965000000000001,50.136,49.201,100.74,1.0017,0.49916,0.5033,1,0.5
0.970000000000001,50.136,49.201,100.74,1.0016,0.49917,0.50327,1,0.5
0.975000000000001,50.135,49.201,100.73,1.0016,0.49918,0.50324,1,0.5
0.980000000000001,50.135,49.201,100.72,1.0016,0.49918,0.50322,1,0.5
0.985000000000001,50.134,49.201,100.72,1.0016,0.49919,0.50319,1,0.5
0.990000000000001,50.134,49.201,100.71,1.0016,0.49919,0.50316,1,0.5
0.995000000000001,50.133,49.201,100.71,1.0016,0.4992,0.50313,1,0.5
1,50.133,40.654,100.7,1.0016,0.4992,0.50311,1,0.5
1.005,50.122,40.654,100.65,1.0015,0.49925,0.50291,1,0.5
1.01,50.112,40.654,100.61,1.0014,0.4993,0.50271,1,0.5
1.015,50.102,40.654,100.57,1.0013,0.49935,0.50251,1,0.5
1.02,50.092,40.654,100.52,1.0012,0.49939,0.50232,1,0.5
1.025,50.082,40.654,100.48,1.0011,0.49944,0.50212,1,0.5
1.03,50.071,40.654,100.43,1.001,0.49949,0.50193,1,0.5
1.035,50.061,40.654,100.39,1.0009,0.49954,0.50173,1,0.5
1.04,50.051,40.654,100.35,1.0008,0.49958,0.50154,1,0.5
1.045,50.041,40.654,100.3,1.0007,0.49963,0.50135,1,0.5
1.05,50.03,40.654,100.26,1.0006,0.49968,0.50115,1,0.5
1.055,50.02,40.654,100.22,1.0005,0.49973,0.50096,1,0.5
1.06,50.01,40.654,100.17,1.0004,0.49977,0.50077,1,0.5
1.065,49.999,40.654,100.13,1.0003,0.49982,0.50058,1,0.5
1.07,49.989,40.654,100.09,1.0002,0.49987,0.50039,1,0.5
1.075,49.978,40.654,100.05,1.0001,0.49991,0.5002,1,0.5
1.08,49.968,40.654,100,1,0.49996,0.50002,1,0.5
1.085,49.958,40.654,99.961,0.99991,0.50001,0.49983,1,0.5
1.09,49.947,40.654,99.919,0.99982,0.50005,0.49964,1,0.5
1.095,49.937,40.654,99.877,0.99973,0.5001,0.49945,1,0.5
1.1,49.926,62.867,99.835,0.99963,0.50015,0.49927,1,0.5
1.105,49.941,62.867,99.894,0.99976,0.50008,0.49953,1,0.5
1.11,49.955,62.867,99.952,0.99989,0.50002,0.49979,1,0.5
1.115,49.97,62.867,100.01,1,0.49995,0.50004,1,0.5
1.12,49.984,62.867,100.07,1.0001,0.49989,0.5003,1,0.5
1.125,49.999,62.867,100.12,1.0003,0.49982,0.50056,1,0.5
1.13,50.013,62.867,100.18,1.0004,0.49976,0.50081,1,0.5
1.135,50.028,62.867,100.24,1.0005,0.4997,0.50106,1,0.5
1.14,50.043,62.867,100.3,1.0007,0.49963,0.50132,1,0.5
1.145,50.057,62.867,100.35,1.0008,0.49957,0.50157,1,0.5
1.15,50.072,62.867,100.41,1.0009,0.4995,0.50182,1,0.5
1.155,50.087,62.867,100.47,1.001,0.49944,0.50207,1,0.5
1.16,50.101,62.867,100.52,1.0012,0.49938,0.50232,1,0.5
1.165,50.116,62.867,100.58,1.0013,0.49932,0.50257,1,0.5
1.17,50.131,62.867,100.63,1.0014,0.49925,0.50282,1,0.5
1.175,50.146,62.867,100.69,1.0015,0.49919,0.50307,1,0.5
1.18,50.16,62.867,100.75,1.0017,0.49913,0.50331,1,0.5
1.185,50.175,62.867,100.8,1.0018,0.49906,0.50356,1,0.5
1.19,50.19,62.867,100.86,1.0019,0.499,0.5038,1,0.5
1.195,50.205,62.867,100.91,1.002,0.49894,0.50405,1,0.5
1.2,50.219,54.218,100.97,1.0021,0.49888,0.50429,1,0.5
1.205,50.224,54.218,100.98,1.0022,0.49886,0.50436,1,0.5
1.21,50.23,54.218,101,1.0022,0.49884,0.50443,1,0.5
1.215,50.235,54.218,101.01,1.0022,0.49882,0.5045,1,0.5
1.22,50.24,54.218,101.03,1.0023,0.4988,0.50457,1,0.5
1.225,50.245,54.218,101.04,1.0023,0.49878,0.50463,1,0.5
1.23,50.25,54.218,101.06,1.0024,0.49877,0.5047,1,0.5
1.235,50.255,54.218,101.07,1.0024,0.49875,0.50477,1,0.5
1.24,50.26,54.218,101.09,1.0024,0.49873,0.50484,1,0.5
1.245,50.266,54.218,101.11,1.0025,0.49871,0.50491,1,0.5
1.25,50.271,54.218,101.12,1.0025,0.49869,0.50497,1,0.5
1.255,50.276,54.218,101.14,1.0025,0.49867,0.50504,1,0.5
1.26,50.281,54.218,101.15,1.0026,0.49866,0.50511,1,0.5
1.265,50.286,54.218,101.17,1.0026,0.49864,0.50518,1,0.5
1.27,50.291,54.218,101.18,1.0026,0.49862,0.50524,1,0.5
1.27499999999999,50.296,54.218,101.2,1.0027,0.4986,0.50531,1,0.5
1.27999999999999,50.302,54.218,101.21,1.0027,0.49858,0.50538,1,0.5
1.28499999999999,50.307,54.218,101.23,1.0027,0.49857,0.50544,1,0.5
1.28999999999999,50.312,54.218,101.24,1.0028,0.49855,0.50551,1,0.5
1.29499999999999,50.317,54.218,101.26,1.0028,0.49853,0.50557,1,0.5
1.29999999999999,50.322,42.563,101.27,1.0028,0.49851,0.50564,1,0.5
1.30499999999999,50.314,42.563,101.23,1.0027,0.49855,0.50547,1,0.5
1.30999999999999,50.306,42.563,101.19,1.0027,0.49859,0.5053,1,0.5
1.31499999999999,50.299,42.563,101.16,1.0026,0.49863,0.50514,1,0.5
1.31999999999999,50.291,42.563,101.12,1.0025,0.49867,0.50497,1,0.5
1.32499999999999,50.283,42.563,101.08,1.0024,0.49871,0.50481,1,0.5
1.32999999999999,50.275,42.563,101.05,1.0023,0.49875,0.50464,1,0.5
1.33499999999999,50.267,42.563,101.01,1.0022,0.49879,0.50448,1,0.5
1.33999999999999,50.259,42.563,100.97,1.0022,0.49883,0.50431,1,0.5
1.34499999999999,50.251,42.563,100.93,1.0021,0.49887,0.50415,1,0.5
1.34999999999999,50.243,42.563,100.9,1.002,0.49891,0.50399,1,0.5
1.35499999999999,50.235,42.563,100.86,1.0019,0.49895,0.50383,1,0.5
1.35999999999999,50.227,42.563,100.83,1.0018,0.49899,0.50367,1,0.5
1.36499999999999,50.219,42.563,100.79,1.0018,0.49903,0.50351,1,0.5
1.36999999999999,50.211,42.563,100.75,1.0017,0.49907,0.50335,1,0.5
1.37499999999999,50.202,42.563,100.72,1.0016,0.4991,0.50319,1,0.5
1.37999999999999,50.194,42.563,100.68,1.0015,0.49914,0.50303,1,0.5
1.38499999999999,50.186,42.563,100.65,1.0014,0.49918,0.50287,1,0.5
1.38999999999999,50.178,42.563,100.61,1.0014,0.49922,0.50271,1,0.5
1.39499999999999,50.17,42.563,100.57,1.0013,0.49926,0.50255,1,0.5
1.39999999999999,50.162,41.372,100.54,1.0012,0.4993,0.5024,1,0.5
1.40499999999999,50.152,41.372,100.5,1.0011,0.49934,0.50222,1,0.5
1.40999999999999,50.143,41.372,100.46,1.001,0.49939,0.50204,1,0.5
1.41499999999999,50.133,41.372,100.42,1.0009,0.49943,0.50186,1,0.5
1.41999999999999,50.124,41.372,100.38,1.0008,0.49948,0.50168,1,0.5
1.42499999999999,50.114,41.372,100.34,1.0008,0.49952,0.5015,1,0.5
1.42999999999999,50.104,41.372,100.3,1.0007,0.49956,0.50132,1,0.5
1.43499999999999,50.095,41.372,100.26,1.0006,0.49961,0.50115,1,0.5
1.43999999999999,50.085,41.372,100.22,1.0005,0.49965,0.50097,1,0.5
1.44499999999999,50.076,41.372,100.18,1.0004,0.4997,0.5008,1,0.5
1.44999999999999,50.066,41.372,100.14,1.0003,0.49974,0.50062,1,0.5
1.45499999999999,50.056,41.372,100.1,1.0002,0.49978,0.50045,1,0.5
1.45999999999999,50.047,41.372,100.06,1.0001,0.49983,0.50027,1,0.5
1.46499999999999,50.037,41.372,100.02,1.0001,0.49987,0.5001,1,0.5
1.46999999999999,50.027,41.372,99.984,0.99996,0.49991,0.49993,1,0.5
1.47499999999999,50.017,41.372,99.946,0.99988,0.49996,0.49976,1,0.5
1.47999999999999,50.008,41.372,99.907,0.99979,0.5,0.49959,1,0.5
1.48499999999999,49.998,41.372,99.869,0.99971,0.50004,0.49942,1,0.5
1.48999999999999,49.988,41.372,99.83,0.99962,0.50009,0.49925,1,0.5
1.49499999999999,49.978,41.372,99.792,0.99954,0.50013,0.49908,1,0.5
1.49999999999999,49.968,39.093,99.754,0.99945,0.50017,0.49891,1,0.5
1.50499999999999,49.956,39.093,99.706,0.99935,0.50023,0.49869,1,0.5
1.50999999999999,49.944,39.093,99.658,0.99924,0.50028,0.49848,1,0.5
1.51499999999999,49.931,39.093,99.611,0.99913,0.50034,0.49827,1,0.5
1.51999999999999,49.919,39.093,99.563,0.99903,0.50039,0.49806,1,0.5
1.52499999999999,49.906,39.093,99.516,0.99892,0.50044,0.49785,1,0.5
1.52999999999999,49.894,39.093,99.468,0.99882,0.5005,0.49764,1,0.5
1.53499999999999,49.881,39.093,99.421,0.99871,0.50055,0.49743,1,0.5
1.53999999999999,49.869,39.093,99.374,0.99861,0.5006,0.49722,1,0.5
1.54499999999999,49.856,39.093,99.327,0.9985,0.50066,0.49701,1,0.5
1.54999999999999,49.844,39.093,99.281,0.9984,0.50071,0.4968,1,0.5
1.55499999999999,49.831,39.093,99.234,0.9983,0.50076,0.49659,1,0.5
1.55999999999999,49.819,39.093,99.188,0.99819,0.50082,0.49639,1,0.5
1.56499999999999,49.806,39.093,99.142,0.99809,0.50087,0.49618,1,0.5
1.56999999999999,49.793,39.093,99.096,0.99799,0.50092,0.49598,1,0.5
1.57499999999999,49.781,39.093,99.05,0.99789,0.50098,0.49577,1,0.5
1.57999999999999,49.768,39.093,99.004,0.99779,0.50103,0.49557,1,0.5
1.58499999999999,49.755,39.093,98.959,0.99768,0.50108,0.49537,1,0.5
1.58999999999999,49.743,39.093,98.913,0.99758,0.50113,0.49517,1,0.5
1.59499999999999,49.73,39.093,98.868,0.99748,0.50119,0.49496,1,0.5
1.59999999999999,49.717,68.33,98.823,0.99738,0.50124,0.49476,1,0.5
1.60499999999999,49.738,68.33,98.909,0.99757,0.50114,0.49515,1,0.5
1.60999999999999,49.758,68.33,98.995,0.99777,0.50105,0.49553,1,0.5
1.61499999999999,49.778,68.33,99.081,0.99796,0.50096,0.49591,1,0.5
1.61999999999999,49.799,68.33,99.167,0.99815,0.50086,0.49629,1,0.5
1.62499999999999,49.819,68.33,99.252,0.99834,0.50077,0.49667,1,0.5
1.62999999999999,49.84,68.33,99.337,0.99853,0.50067,0.49705,1,0.5
1.63499999999999,49.86,68.33,99.421,0.99871,0.50058,0.49743,1,0.5
1.63999999999999,49.881,68.33,99.506,0.9989,0.50049,0.4978,1,0.5
1.64499999999999,49.901,68.33,99.59,0.99909,0.50039,0.49818,1,0.5
1.64999999999999,49.922,68.33,99.674,0.99927,0.5003,0.49855,1,0.5
1.65499999999999,49.942,68.33,99.757,0.99946,0.50021,0.49892,1,0.5
1.65999999999999,49.963,68.33,99.84,0.99965,0.50012,0.49929,1,0.5
1.66499999999999,49.983,68.33,99.923,0.99983,0.50002,0.49966,1,0.5
1.66999999999999,50.004,68.33,100.01,1,0.49993,0.50003,1,0.5
1.67499999999999,50.025,68.33,100.09,1.0002,0.49984,0.50039,1,0.5
1.67999999999999,50.045,68.33,100.17,1.0004,0.49975,0.50076,1,0.5
1.68499999999999,50.066,68.33,100.25,1.0006,0.49966,0.50112,1,0.5
1.68999999999999,50.087,68.33,100.33,1.0007,0.49957,0.50149,1,0.5
1.69499999999999,50.107,68.33,100.42,1.0009,0.49948,0.50185,1,0.5
1.69999999999999,50.128,37.131,100.5,1.0011,0.49939,0.50221,1,0.5
1.70499999999999,50.114,37.131,100.44,1.001,0.49945,0.50194,1,0.5
1.70999999999999,50.1,37.131,100.38,1.0008,0.49952,0.50168,1,0.5
1.71499999999999,50.085,37.131,100.32,1.0007,0.49958,0.50142,1,0.5
1.71999999999999,50.071,37.131,100.26,1.0006,0.49965,0.50116,1,0.5
1.72499999999999,50.057,37.131,100.2,1.0004,0.49971,0.50089,1,0.5
1.72999999999999,50.042,37.131,100.14,1.0003,0.49978,0.50063,1,0.5
1.73499999999999,50.028,37.131,100.08,1.0002,0.49984,0.50037,1,0.5
1.73999999999998,50.013,37.131,100.03,1.0001,0.49991,0.50012,1,0.5
1.74499999999998,49.999,37.131,99.968,0.99993,0.49997,0.49986,1,0.5
1.74999999999998,49.984,37.131,99.91,0.9998,0.50004,0.4996,1,0.5
1.75499999999998,49.97,37.131,99.853,0.99967,0.5001,0.49935,1,0.5
1.75999999999998,49.955,37.131,99.795,0.99955,0.50016,0.49909,1,0.5
1.76499999999998,49.941,37.131,99.738,0.99942,0.50023,0.49884,1,0.5
1.76999999999998,49.926,37.131,99.681,0.99929,0.50029,0.49858,1,0.5
1.77499999999998,49.912,37.131,99.624,0.99917,0.50036,0.49833,1,0.5
1.77999999999998,49.897,37.131,99.568,0.99904,0.50042,0.49808,1,0.5
1.78499999999998,49.882,37.131,99.512,0.99891,0.50048,0.49783,1,0.5
1.78999999999998,49.868,37.131,99.455,0.99879,0.50055,0.49758,1,0.5
1.79499999999998,49.853,37.131,99.399,0.99866,0.50061,0.49733,1,0.5
1.79999999999998,49.838,46.892,99.344,0.99854,0.50067,0.49708,1,0.5
1.80499999999998,49.835,46.892,99.332,0.99851,0.50069,0.49703,1,0.5
1.80999999999998,49.831,46.892,99.32,0.99849,0.5007,0.49698,1,0.5
1.81499999999998,49.827,46.892,99.308,0.99846,0.50072,0.49692,1,0.5
1.81999999999998,49.823,46.892,99.297,0.99844,0.50073,0.49687,1,0.5
1.82499999999998,49.82,46.892,99.285,0.99841,0.50074,0.49682,1,0.5
